Student_ID,Age,Gender,Branch,Year_of_Study,Commute_Mode,Commute_Time_mins,Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Part_Time_Job,Extracurricular_Activities,Peer_Learning,Mentorship_Available,Financial_Status,Previous_Semester_SGPA,Stress_Level,Number_of_KTs,Has_KT,Cleared_in_First_Attempt
MU03154,19,Male,Civil Engineering,First Year,Auto/Cab,10,73,3.6,2.0,7.5,No,Yes,No,No,Lower Middle Class,5.42,Low,0,No,Yes
MU03155,22,Male,Computer Engineering,Second Year,Bus,74,45,4.4,3.8,5.8,No,Yes,Yes,No,Middle Class,5.27,Low,1,Yes,No
MU03156,21,Female,Information Technology,First Year,Local Train,84,60,3.6,5.3,5.1,No,No,No,No,Middle Class,5.42,Low,1,Yes,No
MU03157,18,Female,Computer Engineering,Third Year,Local Train,10,77,2.7,5.0,8.8,Yes,No,Yes,No,Lower Middle Class,6.0,Low,0,No,Yes
MU03158,18,Male,Information Technology,First Year,Local Train,60,91,2.5,,6.4,Yes,No,No,No,Middle Class,6.5,Low,1,Yes,No
MU03159,21,Female,Information Technology,Second Year,Bus,50,74,3.0,3.9,7.3,No,No,Yes,No,Middle Class,6.88,High,4,Yes,No
MU03160,23,Male,Computer Engineering,Final Year,Local Train,105,75,3.6,3.7,6.4,No,No,Yes,Yes,Upper Middle Class,6.76,Medium,2,Yes,No
MU03161,24,Male,Artificial Intelligence & Data Science,Third Year,Bus,77,80,0.0,5.4,7.7,No,Yes,Yes,No,Middle Class,4.44,Low,0,No,Yes
MU03162,23,Male,Electronics & Telecom (EXTC),Second Year,Local Train,101,46,3.6,5.5,9.3,Yes,No,No,Yes,Lower Middle Class,4.04,Medium,1,Yes,No
MU03163,22,Male,Electronics & Telecom (EXTC),Third Year,Two-Wheeler,44,79,4.3,3.0,5.7,No,Yes,Yes,Yes,Middle Class,5.91,Low,0,No,Yes
MU03164,21,Male,Information Technology,First Year,Auto/Cab,24,70,2.6,3.0,,Yes,No,No,Yes,Lower Middle Class,5.12,Medium,3,Yes,No
MU03165,23,Male,Mechanical Engineering,First Year,Bus,72,58,2.0,1.4,6.1,No,No,Yes,No,Middle Class,5.08,Medium,2,Yes,No
MU03166,24,Male,Information Technology,Third Year,Two-Wheeler,40,55,1.7,3.9,6.5,No,No,No,No,Middle Class,5.26,Low,0,No,Yes
MU03167,22,Female,Civil Engineering,Third Year,Local Train,83,68,0.0,3.9,5.1,No,Yes,No,No,Middle Class,3.77,High,4,Yes,No
MU03168,20,Male,Electrical Engineering,Final Year,Local Train,95,82,3.0,1.7,6.3,No,No,Yes,No,Upper Middle Class,6.16,Low,0,No,Yes
MU03169,20,Female,Mechanical Engineering,Final Year,Auto/Cab,31,86,3.4,4.3,5.9,Yes,No,Yes,No,Upper Middle Class,6.77,Low,0,No,Yes
MU03170,22,Male,Electronics & Telecom (EXTC),Final Year,Local Train,19,68,4.2,2.0,8.0,No,Yes,Yes,No,Middle Class,7.96,Low,1,Yes,No
MU03171,21,Female,Civil Engineering,Final Year,Local Train,21,85,6.8,3.2,5.9,No,Yes,Yes,Yes,Upper Middle Class,9.08,Low,0,No,Yes
MU03172,20,Male,Electronics & Telecom (EXTC),Third Year,Local Train,106,53,3.1,5.2,6.5,No,Yes,Yes,No,Upper Middle Class,4.9,Medium,1,Yes,No
MU03173,21,Male,Computer Engineering,Final Year,Bus,42,63,4.6,5.5,7.7,Yes,No,Yes,No,Middle Class,6.27,Medium,2,Yes,No
MU03174,23,Male,Computer Engineering,Third Year,Bus,61,95,0.6,1.9,7.5,No,Yes,Yes,No,Upper Middle Class,6.64,Low,0,No,Yes
MU03175,20,Male,Artificial Intelligence & Data Science,First Year,Local Train,89,87,2.3,2.6,8.1,Yes,No,No,Yes,Middle Class,6.31,Low,0,No,Yes
MU03176,24,Male,Computer Engineering,First Year,Auto/Cab,41,57,4.5,,7.7,No,No,No,No,Lower Middle Class,5.34,Medium,2,Yes,No
MU03177,24,Female,Electrical Engineering,First Year,Walking,26,81,3.2,4.4,7.0,No,Yes,Yes,Yes,Middle Class,6.11,Low,0,No,Yes
MU03178,23,Female,Computer Engineering,Final Year,Local Train,120,61,4.7,4.5,6.4,No,No,No,No,Wealthy,5.64,Low,1,Yes,No
MU03179,24,Female,Information Technology,Third Year,Bus,53,65,4.6,0.0,6.3,No,Yes,Yes,Yes,Upper Middle Class,6.43,Low,0,No,Yes
MU03180,21,Female,Mechanical Engineering,Final Year,Two-Wheeler,27,69,5.6,1.7,6.6,No,Yes,Yes,No,Lower Middle Class,5.92,Low,0,No,Yes
MU03181,21,Male,Computer Engineering,Second Year,Local Train,64,49,4.1,4.3,5.4,No,Yes,Yes,Yes,Lower Middle Class,5.44,Medium,1,Yes,No
MU03182,24,Male,Civil Engineering,Second Year,Local Train,126,74,2.8,5.8,6.0,No,Yes,Yes,No,Middle Class,5.53,High,2,Yes,No
MU03183,19,Male,Mechanical Engineering,First Year,Local Train,105,90,4.3,2.6,7.0,No,No,Yes,No,Upper Middle Class,5.43,Medium,2,Yes,No
MU03184,22,Male,Electronics & Telecom (EXTC),Final Year,Two-Wheeler,41,67,1.5,3.5,4.7,No,Yes,No,No,Upper Middle Class,4.53,Medium,2,Yes,No
MU03185,18,Male,Electronics & Telecom (EXTC),Final Year,Local Train,141,61,6.2,1.8,4.4,No,No,Yes,Yes,Wealthy,5.97,Low,0,No,Yes
MU03186,22,Male,Computer Engineering,Final Year,Bus,57,61,2.3,5.9,4.0,No,No,Yes,Yes,Upper Middle Class,4.33,Medium,1,Yes,No
MU03187,24,Male,Information Technology,First Year,Bus,44,37,3.0,1.9,4.9,No,No,Yes,No,Middle Class,5.44,Low,1,Yes,No
MU03188,21,Male,Computer Engineering,First Year,Local Train,79,33,3.5,4.8,6.1,No,Yes,Yes,No,Middle Class,3.9,Medium,2,Yes,No
MU03189,21,Female,Information Technology,Second Year,Local Train,122,97,4.0,,6.3,No,No,No,No,Middle Class,6.74,Medium,0,No,Yes
MU03190,22,Female,Artificial Intelligence & Data Science,Second Year,Local Train,48,63,4.9,0.0,5.4,No,No,No,No,Middle Class,5.06,Low,0,No,Yes
MU03191,21,Male,Electronics & Telecom (EXTC),Final Year,Local Train,88,56,1.8,4.1,5.4,No,No,Yes,No,Middle Class,5.41,Medium,2,Yes,No
MU03192,23,Female,Civil Engineering,First Year,Local Train,138,56,1.2,3.4,5.2,No,No,Yes,No,Middle Class,4.79,High,4,Yes,No
MU03193,20,Female,Electronics & Telecom (EXTC),Third Year,Local Train,102,69,1.7,4.4,6.8,No,No,No,No,Middle Class,5.54,High,4,Yes,No
MU03194,21,Male,Computer Engineering,Third Year,Bus,56,66,3.3,3.8,6.1,No,No,Yes,No,Upper Middle Class,5.76,Low,0,No,Yes
MU03195,24,Male,Electronics & Telecom (EXTC),Second Year,Local Train,147,75,4.0,1.9,6.7,No,No,Yes,Yes,Upper Middle Class,5.71,Low,0,No,Yes
MU03196,24,Male,Civil Engineering,First Year,Local Train,100,50,3.9,3.1,6.1,No,Yes,Yes,No,Middle Class,5.64,Low,1,Yes,No
MU03197,22,Female,Computer Engineering,Final Year,Local Train,41,76,3.5,5.2,6.0,No,No,No,No,Middle Class,6.17,Low,0,No,Yes
MU03198,22,Female,Electrical Engineering,Second Year,Local Train,84,78,3.5,4.6,6.7,No,Yes,Yes,No,Upper Middle Class,6.68,High,3,Yes,No
MU03199,22,Male,Electronics & Telecom (EXTC),Third Year,Two-Wheeler,58,65,4.6,4.3,6.8,No,Yes,Yes,No,Middle Class,5.66,Medium,1,Yes,No
MU03200,24,Male,Computer Engineering,First Year,Local Train,95,82,4.3,6.6,8.0,No,No,Yes,No,Lower Middle Class,6.08,Low,0,No,Yes
MU03201,19,Male,Electronics & Telecom (EXTC),Final Year,Local Train,136,89,0.9,4.3,7.3,No,No,No,Yes,Upper Middle Class,4.76,Medium,2,Yes,No
MU03202,24,Male,Information Technology,First Year,Bus,38,65,3.7,4.9,8.4,No,No,Yes,No,Upper Middle Class,4.82,Medium,1,Yes,No
MU03203,23,Male,Information Technology,Third Year,Local Train,87,69,3.9,1.2,5.5,No,No,Yes,Yes,Middle Class,5.82,Low,0,No,Yes
MU03204,24,Female,Civil Engineering,Third Year,Local Train,100,74,,5.0,5.2,No,Yes,No,No,Wealthy,4.62,Low,0,No,Yes
MU03205,23,Female,Artificial Intelligence & Data Science,First Year,Two-Wheeler,21,79,4.2,4.1,5.9,No,No,Yes,No,Wealthy,5.73,Low,1,Yes,No
MU03206,24,Female,Civil Engineering,First Year,Local Train,89,81,2.9,4.6,7.3,Yes,Yes,No,Yes,Middle Class,5.88,Low,0,No,Yes
MU03207,24,Female,Electrical Engineering,Final Year,Local Train,102,80,4.1,3.8,5.7,No,Yes,No,No,Upper Middle Class,5.6,Low,1,Yes,No
MU03208,19,Female,Artificial Intelligence & Data Science,First Year,Local Train,52,80,1.1,4.8,7.9,No,No,No,Yes,Middle Class,4.95,Low,1,Yes,No
MU03209,23,Male,Artificial Intelligence & Data Science,Third Year,Local Train,45,72,1.4,3.9,5.0,No,No,Yes,No,Middle Class,5.99,Medium,2,Yes,No
MU03210,19,Female,Computer Engineering,Third Year,Bus,83,81,4.5,3.8,5.2,No,Yes,Yes,No,Wealthy,6.38,Low,0,No,Yes
MU03211,23,Male,Electronics & Telecom (EXTC),Second Year,Two-Wheeler,41,81,4.2,6.2,6.6,No,Yes,Yes,No,Upper Middle Class,6.19,Low,0,No,Yes
MU03212,19,Female,Computer Engineering,First Year,Walking,10,68,0.0,4.0,8.8,No,No,Yes,Yes,Middle Class,5.11,Low,3,Yes,No
MU03213,19,Male,Electronics & Telecom (EXTC),First Year,Local Train,69,89,2.7,6.0,7.2,No,No,No,No,Middle Class,5.08,Medium,3,Yes,No
MU03214,23,Female,Artificial Intelligence & Data Science,Third Year,Walking,20,48,0.0,4.4,7.2,Yes,No,Yes,No,Middle Class,3.68,High,3,Yes,No
MU03215,19,Male,Computer Engineering,Third Year,Bus,14,72,6.0,5.6,5.4,Yes,No,Yes,No,Middle Class,5.85,Low,0,No,Yes
MU03216,24,Male,Mechanical Engineering,Final Year,Local Train,62,76,2.2,3.7,6.1,No,No,No,Yes,Middle Class,5.24,Medium,2,Yes,No
MU03217,23,Male,Mechanical Engineering,Third Year,Two-Wheeler,35,69,2.6,2.6,6.9,No,No,No,No,Middle Class,,Low,1,Yes,No
MU03218,19,Male,Computer Engineering,Final Year,Bus,53,97,1.9,2.7,4.4,No,Yes,Yes,Yes,Upper Middle Class,6.18,Medium,1,Yes,No
MU03219,24,Female,Computer Engineering,First Year,Local Train,58,68,2.5,3.1,6.2,No,No,Yes,Yes,Upper Middle Class,5.79,Low,0,No,Yes
MU03220,24,Female,Electronics & Telecom (EXTC),Third Year,Local Train,85,90,2.1,0.5,8.2,No,Yes,Yes,Yes,Lower Middle Class,7.24,Low,0,No,Yes
MU03221,22,Male,Computer Engineering,First Year,Bus,51,62,4.8,2.2,8.0,No,No,No,No,Wealthy,7.09,Low,1,Yes,No
MU03222,18,Male,Electronics & Telecom (EXTC),Second Year,Local Train,84,67,2.7,5.1,9.1,No,No,No,Yes,Middle Class,4.88,Low,1,Yes,No
MU03223,23,Male,Electronics & Telecom (EXTC),Third Year,Local Train,99,73,2.2,4.9,6.1,No,No,No,Yes,Upper Middle Class,5.39,Medium,1,Yes,No
MU03224,19,Male,Electronics & Telecom (EXTC),Final Year,Auto/Cab,10,68,3.6,4.1,4.8,No,No,Yes,No,Middle Class,5.66,Low,1,Yes,No
MU03225,22,Male,Computer Engineering,Second Year,Local Train,111,52,0.1,6.5,6.0,No,No,Yes,Yes,Middle Class,4.24,Medium,3,Yes,No
MU03226,18,Female,Electronics & Telecom (EXTC),Final Year,Local Train,105,75,2.1,2.5,6.7,No,Yes,Yes,No,Middle Class,4.99,Low,3,Yes,No
MU03227,19,Male,Computer Engineering,Second Year,Walking,24,71,2.7,4.2,7.5,No,No,No,No,Middle Class,5.04,Medium,3,Yes,No
MU03228,18,Male,Artificial Intelligence & Data Science,Final Year,Local Train,84,61,1.3,4.6,6.8,Yes,No,No,No,Middle Class,5.22,High,6,Yes,No
MU03229,23,Male,Information Technology,First Year,Local Train,84,37,3.8,3.2,7.1,Yes,Yes,No,No,Middle Class,5.23,High,5,Yes,No
MU03230,24,Male,Artificial Intelligence & Data Science,First Year,Bus,57,46,2.9,2.9,6.0,Yes,No,No,Yes,Middle Class,3.83,Medium,2,Yes,No
MU03231,24,Male,Civil Engineering,Final Year,Local Train,92,47,3.9,3.4,6.1,Yes,No,No,No,Upper Middle Class,4.88,High,4,Yes,No
MU03232,18,Female,Civil Engineering,Third Year,Auto/Cab,27,69,3.8,2.8,5.6,No,No,Yes,No,Lower Middle Class,6.56,Low,1,Yes,No
MU03233,24,Male,Information Technology,Third Year,Local Train,112,86,5.2,6.8,4.9,No,No,No,No,Middle Class,5.82,High,4,Yes,No
MU03234,20,Male,Computer Engineering,Third Year,Two-Wheeler,35,58,1.5,3.4,6.0,No,No,No,No,Middle Class,4.11,Medium,4,Yes,No
MU03235,21,Male,Information Technology,Final Year,Local Train,107,79,4.4,4.3,6.9,Yes,No,No,Yes,Middle Class,5.63,Medium,2,Yes,No
MU03236,24,Male,Computer Engineering,Third Year,Local Train,104,54,2.2,2.9,7.2,No,No,Yes,No,Middle Class,5.39,Low,1,Yes,No
MU03237,20,Male,Artificial Intelligence & Data Science,Third Year,Local Train,110,66,,6.4,7.0,No,No,No,No,Upper Middle Class,5.53,Low,1,Yes,No
MU03238,23,Female,Information Technology,Final Year,Local Train,78,65,3.7,3.6,6.7,Yes,Yes,Yes,No,Middle Class,4.32,High,4,Yes,No
MU03239,23,Female,Artificial Intelligence & Data Science,Final Year,Local Train,128,70,4.6,1.6,6.0,Yes,No,Yes,No,Middle Class,5.41,Medium,2,Yes,No
MU03240,18,Male,Civil Engineering,Second Year,Bus,76,66,3.1,2.2,8.3,No,No,No,No,Wealthy,5.32,Low,1,Yes,No
MU03241,24,Male,Computer Engineering,Third Year,Two-Wheeler,23,70,4.4,4.9,6.7,No,Yes,Yes,No,Middle Class,5.42,Low,1,Yes,No
MU03242,24,Male,Mechanical Engineering,Third Year,Local Train,65,82,5.2,3.8,6.3,No,Yes,No,No,Middle Class,6.36,Medium,2,Yes,No
MU03243,24,Male,Information Technology,First Year,Local Train,135,77,2.5,5.0,7.4,Yes,Yes,Yes,Yes,Middle Class,5.02,High,3,Yes,No
MU03244,22,Female,Computer Engineering,Third Year,Local Train,34,73,2.6,5.1,8.4,No,No,Yes,Yes,Middle Class,5.5,Low,0,No,Yes
MU03245,19,Female,Information Technology,First Year,Local Train,89,72,1.8,3.1,7.5,No,Yes,Yes,Yes,Upper Middle Class,5.46,Low,0,No,Yes
MU03246,21,Male,Artificial Intelligence & Data Science,First Year,Local Train,152,58,2.2,3.5,7.5,Yes,No,Yes,Yes,Middle Class,3.69,Medium,1,Yes,No
MU03247,24,Male,Electronics & Telecom (EXTC),Final Year,Local Train,122,63,3.4,3.0,6.1,No,Yes,Yes,Yes,Upper Middle Class,4.44,High,4,Yes,No
MU03248,19,Male,Mechanical Engineering,First Year,Local Train,120,71,2.8,4.2,8.5,No,No,Yes,No,Middle Class,6.24,Medium,1,Yes,No
MU03249,22,Female,Information Technology,Third Year,Two-Wheeler,22,72,2.7,1.4,8.2,No,Yes,Yes,No,Upper Middle Class,6.4,Low,1,Yes,No
MU03250,23,Female,Electronics & Telecom (EXTC),Second Year,Bus,75,52,3.5,3.3,6.7,No,No,Yes,Yes,Middle Class,6.59,High,3,Yes,No
MU03251,21,Male,Information Technology,Third Year,Local Train,136,37,2.7,2.9,6.5,No,No,No,No,Middle Class,5.71,Low,2,Yes,No
MU03252,20,Male,Information Technology,First Year,Local Train,80,69,0.9,3.7,7.4,No,No,Yes,No,Middle Class,4.38,High,4,Yes,No
MU03253,23,Female,Computer Engineering,Second Year,Local Train,90,55,1.7,3.0,6.6,No,Yes,No,Yes,Lower Middle Class,5.5,Medium,2,Yes,No
MU03254,23,Male,Information Technology,Final Year,Walking,30,90,3.6,4.2,8.8,No,Yes,No,Yes,Lower Middle Class,5.23,Low,0,No,Yes
MU03255,18,Male,Mechanical Engineering,Second Year,Local Train,83,80,3.4,5.4,8.2,No,No,Yes,No,Wealthy,5.26,Low,1,Yes,No
MU03256,22,Male,Computer Engineering,Second Year,Two-Wheeler,17,78,1.7,5.6,6.0,No,No,Yes,No,Lower Middle Class,5.61,Low,0,No,Yes
MU03257,18,Female,Artificial Intelligence & Data Science,Second Year,Bus,10,49,2.0,3.1,6.3,No,No,No,Yes,Wealthy,5.81,High,3,Yes,No
MU03258,18,Male,Computer Engineering,First Year,Bus,66,83,2.0,5.1,5.1,No,No,Yes,No,Upper Middle Class,5.59,Low,1,Yes,No
MU03259,19,Male,Electronics & Telecom (EXTC),Second Year,Walking,14,60,2.5,0.0,8.5,No,Yes,Yes,Yes,Lower Middle Class,6.2,Low,0,No,Yes
MU03260,23,Female,Computer Engineering,First Year,Auto/Cab,10,81,4.3,4.4,7.3,No,Yes,No,No,Lower Middle Class,6.31,Low,0,No,Yes
MU03261,22,Male,Computer Engineering,Third Year,Local Train,66,82,5.4,1.5,4.8,No,No,Yes,Yes,Middle Class,6.9,Low,0,No,Yes
MU03262,18,Male,Artificial Intelligence & Data Science,Final Year,Two-Wheeler,34,46,3.4,5.1,6.0,Yes,No,Yes,No,Middle Class,4.76,Low,2,Yes,No
MU03263,20,Male,Electrical Engineering,Third Year,Bus,50,55,5.3,5.4,4.8,No,Yes,Yes,No,Lower Middle Class,5.57,Medium,2,Yes,No
MU03264,21,Male,Mechanical Engineering,Third Year,Local Train,123,91,2.5,4.6,6.8,No,No,No,No,Middle Class,6.14,Medium,2,Yes,No
MU03265,24,Female,Artificial Intelligence & Data Science,First Year,Bus,73,47,3.5,3.0,5.9,No,No,Yes,Yes,Upper Middle Class,6.47,Low,1,Yes,No
MU03266,22,Male,Electrical Engineering,Final Year,Auto/Cab,18,78,2.7,2.1,6.1,No,No,Yes,Yes,Middle Class,6.41,Low,1,Yes,No
MU03267,19,Male,Mechanical Engineering,Second Year,Local Train,51,54,4.0,3.6,8.1,No,Yes,Yes,No,Middle Class,5.33,Medium,2,Yes,No
MU03268,22,Male,Electrical Engineering,Final Year,Walking,27,87,4.3,3.3,6.9,No,No,Yes,Yes,Lower Middle Class,5.92,Low,0,No,Yes
MU03269,23,Female,Information Technology,First Year,Bus,89,66,2.2,3.6,6.8,No,No,No,No,Upper Middle Class,5.22,Low,1,Yes,No
MU03270,19,Female,Electronics & Telecom (EXTC),Final Year,Local Train,141,68,4.6,3.9,6.1,No,No,No,No,Middle Class,5.83,Medium,1,Yes,No
MU03271,21,Male,Civil Engineering,Third Year,Bus,54,87,2.2,5.2,6.5,No,Yes,No,Yes,Middle Class,6.29,High,4,Yes,No
MU03272,20,Male,Computer Engineering,First Year,Bus,71,95,1.3,2.5,7.1,Yes,Yes,No,Yes,Wealthy,6.85,Low,2,Yes,No
MU03273,18,Female,Artificial Intelligence & Data Science,Final Year,Local Train,70,68,4.6,1.8,8.4,No,No,Yes,Yes,Upper Middle Class,5.11,Medium,1,Yes,No
MU03274,22,Male,Computer Engineering,First Year,Bus,43,77,3.5,3.5,6.8,Yes,Yes,Yes,No,Upper Middle Class,7.24,Medium,3,Yes,No
MU03275,19,Female,Artificial Intelligence & Data Science,Third Year,Bus,74,69,3.2,3.4,6.0,No,No,No,No,Lower Middle Class,,High,4,Yes,No
MU03276,21,Female,Information Technology,Final Year,Two-Wheeler,21,96,3.5,3.8,6.8,No,No,No,No,Middle Class,5.63,Low,0,No,Yes
MU03277,18,Female,Information Technology,First Year,Local Train,75,92,2.5,4.0,6.6,No,No,Yes,Yes,Lower Middle Class,6.6,Low,1,Yes,No
MU03278,24,Male,Computer Engineering,Second Year,Local Train,124,71,3.9,3.6,9.9,No,No,Yes,No,Middle Class,5.76,High,3,Yes,No
MU03279,21,Male,Artificial Intelligence & Data Science,Third Year,Bus,49,79,1.1,2.3,6.2,No,Yes,No,No,Middle Class,4.57,High,3,Yes,No
MU03280,20,Female,Computer Engineering,Third Year,Local Train,59,86,5.9,3.9,6.7,No,No,No,Yes,Middle Class,6.23,Low,0,No,Yes
MU03281,18,Male,Mechanical Engineering,Final Year,Local Train,149,60,1.7,5.8,7.4,Yes,No,Yes,No,Upper Middle Class,4.23,Medium,3,Yes,No
MU03282,18,Male,Mechanical Engineering,Final Year,Bus,71,67,1.3,3.5,6.8,No,No,Yes,No,Lower Middle Class,4.9,Low,0,No,Yes
MU03283,24,Female,Information Technology,Second Year,Walking,10,85,4.0,3.9,7.8,No,Yes,Yes,No,Middle Class,6.79,Low,0,No,Yes
MU03284,18,Female,Artificial Intelligence & Data Science,Final Year,Local Train,100,50,1.6,5.4,6.7,Yes,No,Yes,Yes,Upper Middle Class,3.73,Low,1,Yes,No
MU03285,19,Male,Computer Engineering,Final Year,Two-Wheeler,38,79,4.4,2.2,6.1,No,No,Yes,No,Middle Class,7.66,Low,0,No,Yes
MU03286,18,Male,Mechanical Engineering,First Year,Two-Wheeler,52,78,4.1,3.4,7.1,Yes,No,Yes,Yes,Lower Middle Class,7.35,Low,0,No,Yes
MU03287,21,Male,Electronics & Telecom (EXTC),First Year,Local Train,105,59,1.3,5.2,6.9,No,Yes,No,No,Middle Class,5.55,High,5,Yes,No
MU03288,19,Female,Computer Engineering,Second Year,Two-Wheeler,39,86,2.8,4.7,7.4,Yes,No,Yes,No,Middle Class,5.34,Medium,2,Yes,No
MU03289,18,Female,Computer Engineering,Final Year,Local Train,97,76,5.3,4.7,6.0,Yes,Yes,Yes,No,Middle Class,6.56,High,3,Yes,No
MU03290,21,Male,Civil Engineering,First Year,Walking,23,60,2.3,0.1,7.3,No,Yes,Yes,No,Middle Class,6.22,Low,0,No,Yes
MU03291,21,Male,Artificial Intelligence & Data Science,Final Year,Local Train,102,48,1.9,2.5,8.2,No,No,Yes,Yes,Middle Class,4.9,Medium,3,Yes,No
MU03292,22,Female,Computer Engineering,Final Year,Local Train,78,63,2.8,1.4,4.5,No,No,No,No,Middle Class,5.48,Low,2,Yes,No
MU03293,21,Male,Computer Engineering,First Year,Local Train,46,56,3.8,5.7,6.6,No,No,No,No,Upper Middle Class,5.51,Low,1,Yes,No
MU03294,24,Male,Artificial Intelligence & Data Science,Second Year,Local Train,83,62,2.3,4.3,5.6,No,No,No,Yes,Middle Class,5.58,Low,0,No,Yes
MU03295,23,Female,Computer Engineering,Second Year,Local Train,76,63,1.9,3.5,7.6,No,No,Yes,No,Wealthy,4.61,Low,1,Yes,No
MU03296,20,Male,Electronics & Telecom (EXTC),Second Year,Local Train,88,87,4.0,2.4,6.6,No,No,No,Yes,Middle Class,6.41,Low,0,No,Yes
MU03297,18,Female,Electronics & Telecom (EXTC),Second Year,Local Train,123,50,5.9,3.0,5.8,No,Yes,Yes,No,Upper Middle Class,4.25,Medium,1,Yes,No
MU03298,24,Male,Information Technology,Third Year,Local Train,133,54,3.0,6.8,5.9,No,No,Yes,No,Middle Class,4.3,Medium,1,Yes,No
MU03299,18,Male,Mechanical Engineering,Third Year,Local Train,111,63,2.1,3.6,8.6,No,No,No,No,Upper Middle Class,4.47,Medium,1,Yes,No
MU03300,18,Female,Artificial Intelligence & Data Science,Final Year,Bus,76,100,2.6,,6.3,No,No,Yes,No,Middle Class,6.72,Low,1,Yes,No
MU03301,21,Male,Electronics & Telecom (EXTC),Second Year,Local Train,87,46,0.7,1.8,6.6,No,No,Yes,Yes,Middle Class,6.08,Medium,2,Yes,No
MU03302,21,Other,Civil Engineering,Third Year,Local Train,78,39,2.9,6.3,7.0,No,Yes,Yes,No,Middle Class,6.27,Medium,3,Yes,No
MU03303,18,Male,Mechanical Engineering,Final Year,Bus,74,89,3.8,3.5,5.4,Yes,Yes,No,No,Lower Middle Class,5.57,High,2,Yes,No
MU03304,23,Male,Electronics & Telecom (EXTC),Second Year,Local Train,119,62,2.1,3.0,7.7,No,No,No,No,Upper Middle Class,4.51,Medium,1,Yes,No
MU03305,19,Male,Computer Engineering,Second Year,Local Train,118,57,0.6,1.5,5.1,No,Yes,Yes,Yes,Lower Middle Class,6.43,High,3,Yes,No
MU03306,19,Male,Civil Engineering,Third Year,Local Train,85,75,4.4,2.2,7.4,Yes,Yes,Yes,No,Middle Class,5.81,Low,0,No,Yes
MU03307,20,Male,Information Technology,Final Year,Two-Wheeler,41,80,0.7,5.3,5.7,No,No,Yes,Yes,Middle Class,5.68,High,3,Yes,No
MU03308,22,Male,Computer Engineering,Second Year,Two-Wheeler,69,82,2.7,1.2,6.5,No,Yes,No,No,Middle Class,5.93,Low,1,Yes,No
MU03309,24,Male,Artificial Intelligence & Data Science,Third Year,Local Train,17,78,5.3,1.7,7.8,No,Yes,Yes,Yes,Lower Middle Class,6.92,Low,1,Yes,No
MU03310,20,Male,Civil Engineering,Final Year,Bus,79,59,3.6,3.0,5.7,No,Yes,No,Yes,Middle Class,5.32,Low,1,Yes,No
MU03311,18,Female,Artificial Intelligence & Data Science,First Year,Local Train,79,79,0.1,4.3,,No,No,Yes,Yes,Upper Middle Class,5.93,Low,1,Yes,No
MU03312,24,Female,Information Technology,Second Year,Local Train,79,76,1.2,3.7,5.9,No,Yes,Yes,No,Middle Class,6.35,Medium,2,Yes,No
MU03313,18,Female,Electrical Engineering,Third Year,Local Train,81,90,1.8,2.8,7.0,Yes,Yes,No,No,Middle Class,6.01,Medium,2,Yes,No
MU03314,18,Male,Mechanical Engineering,First Year,Two-Wheeler,12,92,1.3,2.7,5.2,No,No,Yes,Yes,Middle Class,5.63,Medium,1,Yes,No
MU03315,22,Male,Artificial Intelligence & Data Science,Third Year,Local Train,83,56,0.9,2.6,5.9,No,No,No,No,Middle Class,5.45,Low,2,Yes,No
MU03316,21,Female,Artificial Intelligence & Data Science,First Year,Bus,85,95,1.4,3.4,6.9,No,Yes,No,No,Middle Class,5.68,Medium,2,Yes,No
MU03317,22,Male,Artificial Intelligence & Data Science,Final Year,Walking,17,63,3.9,2.3,8.9,Yes,No,No,No,Middle Class,4.52,Low,2,Yes,No
MU03318,20,Male,Artificial Intelligence & Data Science,Final Year,Local Train,85,48,4.3,3.9,6.8,No,No,Yes,No,Middle Class,5.27,Low,0,No,Yes
MU03319,21,Female,Computer Engineering,First Year,Walking,11,94,0.5,5.4,6.3,No,No,Yes,No,Upper Middle Class,5.3,Low,1,Yes,No
MU03320,21,Female,Civil Engineering,First Year,Walking,20,82,6.2,5.2,6.2,No,Yes,Yes,Yes,Middle Class,6.42,Low,0,No,Yes
MU03321,20,Male,Information Technology,Final Year,Bus,10,40,4.4,1.2,8.9,No,No,Yes,Yes,Middle Class,6.09,Low,0,No,Yes
MU03322,21,Male,Civil Engineering,Second Year,Local Train,66,62,5.7,2.0,7.6,No,Yes,Yes,No,Middle Class,6.15,Low,0,No,Yes
MU03323,24,Female,Artificial Intelligence & Data Science,Third Year,Bus,67,59,1.3,4.3,5.2,No,No,Yes,Yes,Middle Class,5.67,High,4,Yes,No
MU03324,19,Female,Computer Engineering,Second Year,Walking,10,61,1.1,3.8,4.1,No,No,No,No,Upper Middle Class,3.75,Medium,2,Yes,No
MU03325,20,Female,Electronics & Telecom (EXTC),First Year,Bus,35,97,4.3,3.9,5.1,No,Yes,No,Yes,Upper Middle Class,6.81,Low,2,Yes,No
MU03326,20,Female,Civil Engineering,Second Year,Local Train,75,66,3.7,5.8,6.7,Yes,No,Yes,Yes,Upper Middle Class,6.09,Low,1,Yes,No
